episode,total_reward,x_pos,time,flag_get,loss,epsilon,steps,course,time
3676,771.0,722,357,False,0,0.5589999999999999,869,1-1,2025-12-10 07:20:17.076433
3677,432.0,722,0,False,0,0.55888,8018,1-1,2025-12-10 07:20:36.201808
3678,290.0,302,393,False,0,0.5587599999999999,155,1-1,2025-12-10 07:20:36.584093
3679,753.0,705,357,False,0,0.55864,861,1-1,2025-12-10 07:20:38.616637
3680,282.0,308,393,False,0,0.55852,141,1-1,2025-12-10 07:20:38.939819
3681,727.0,691,343,False,0,0.5584,1141,1-1,2025-12-10 07:20:41.638839
3682,763.0,688,382,False,0,0.55828,377,1-1,2025-12-10 07:20:42.532662
3683,641.0,898,0,False,0,0.55816,8018,1-1,2025-12-10 07:21:01.527277
3684,755.0,683,382,False,0,0.55804,359,1-1,2025-12-10 07:21:02.366757
3685,810.0,722,384,False,0,0.55792,325,1-1,2025-12-10 07:21:03.131860
3686,438.0,722,0,False,0,0.5578,8018,1-1,2025-12-10 07:21:22.205633
3687,286.0,302,393,False,0,0.55768,149,1-1,2025-12-10 07:21:22.574851
3688,712.0,842,142,False,0,0.5575600000000001,5171,1-1,2025-12-10 07:21:34.935610
3689,423.0,722,0,False,0,0.5574399999999999,8018,1-1,2025-12-10 07:21:54.021282
3690,280.0,291,392,False,0,0.55732,169,1-1,2025-12-10 07:21:54.436492
3691,789.0,722,354,False,0,0.5571999999999999,925,1-1,2025-12-10 07:21:56.660835
3692,1209.0,1126,268,False,0,0.55708,2655,1-1,2025-12-10 07:22:02.939227
3693,427.0,722,0,False,0,0.5569599999999999,8018,1-1,2025-12-10 07:22:22.098045
3694,791.0,722,370,False,0,0.55684,617,1-1,2025-12-10 07:22:23.594559
3695,281.0,302,394,False,0,0.55672,133,1-1,2025-12-10 07:22:23.912514
3696,422.0,722,0,False,0,0.5566,8018,1-1,2025-12-10 07:22:43.020551
3697,288.0,300,393,False,0,0.55648,153,1-1,2025-12-10 07:22:43.400992
3698,285.0,295,392,False,0,0.55636,159,1-1,2025-12-10 07:22:43.778400
3699,888.0,820,348,False,0,0.5562400000000001,1043,1-1,2025-12-10 07:22:46.253253
3700,739.0,676,366,False,0,0.55612,681,1-1,2025-12-10 07:22:47.889697
3701,290.0,306,393,False,0,0.556,141,1-1,2025-12-10 07:22:48.217888
3702,265.0,295,393,False,0,0.5558799999999999,143,1-1,2025-12-10 07:22:48.571125
3703,284.0,301,393,False,0,0.55576,147,1-1,2025-12-10 07:22:48.918397
3704,402.0,722,0,False,0,0.5556399999999999,8018,1-1,2025-12-10 07:23:08.133183
3705,715.0,670,358,False,0,0.55552,839,1-1,2025-12-10 07:23:10.143882
3706,620.0,800,107,False,0,0.5554,5865,1-1,2025-12-10 07:23:24.165190
3707,750.0,685,365,False,0,0.55528,703,1-1,2025-12-10 07:23:25.839362
3708,284.0,296,392,False,0,0.55516,159,1-1,2025-12-10 07:23:26.211519
3709,743.0,722,330,False,0,0.55504,1415,1-1,2025-12-10 07:23:29.568377
3710,719.0,673,364,False,0,0.5549200000000001,725,1-1,2025-12-10 07:23:31.301541
3711,438.0,722,0,False,0,0.5548,8018,1-1,2025-12-10 07:23:50.427501
3712,546.0,817,10,False,0,0.55468,7813,1-1,2025-12-10 07:24:09.085151
3713,282.0,301,393,False,0,0.5545599999999999,151,1-1,2025-12-10 07:24:09.454929
3714,276.0,290,391,False,0,0.55444,183,1-1,2025-12-10 07:24:09.884299
3715,296.0,305,393,False,0,0.55432,145,1-1,2025-12-10 07:24:10.231209
3716,421.0,722,0,False,0,0.5542,8018,1-1,2025-12-10 07:24:29.286960
3717,765.0,699,382,False,0,0.55408,371,1-1,2025-12-10 07:24:30.167673
3718,760.0,722,358,False,0,0.55396,843,1-1,2025-12-10 07:24:32.185480
3719,752.0,722,346,False,0,0.5538399999999999,1095,1-1,2025-12-10 07:24:34.804446
3720,284.0,295,392,False,0,0.55372,161,1-1,2025-12-10 07:24:35.186422
3721,424.0,722,0,False,0,0.5536,8018,1-1,2025-12-10 07:24:54.347971
3722,286.0,301,393,False,0,0.55348,143,1-1,2025-12-10 07:24:54.702287
3723,268.0,298,393,False,0,0.55336,151,1-1,2025-12-10 07:24:55.065258
3724,746.0,701,357,False,0,0.55324,865,1-1,2025-12-10 07:24:57.121340
3725,437.0,722,0,False,0,0.5531200000000001,8018,1-1,2025-12-10 07:25:16.320952
3726,283.0,296,392,False,0,0.5529999999999999,167,1-1,2025-12-10 07:25:16.725019
3727,713.0,663,363,False,0,0.55288,739,1-1,2025-12-10 07:25:18.469157
3728,279.0,299,392,False,0,0.5527599999999999,161,1-1,2025-12-10 07:25:18.847024
3729,414.0,722,0,False,0,0.55264,8018,1-1,2025-12-10 07:25:38.019437
3730,275.0,297,393,False,0,0.55252,149,1-1,2025-12-10 07:25:38.382539
3731,263.0,289,393,False,0,0.5524,149,1-1,2025-12-10 07:25:38.727612
3732,784.0,703,381,False,0,0.55228,397,1-1,2025-12-10 07:25:39.672088
3733,271.0,298,393,False,0,0.55216,141,1-1,2025-12-10 07:25:39.996111
3734,273.0,287,392,False,0,0.55204,177,1-1,2025-12-10 07:25:40.432116
3735,287.0,297,393,False,0,0.55192,153,1-1,2025-12-10 07:25:40.788406
3736,739.0,703,333,False,0,0.5518000000000001,1357,1-1,2025-12-10 07:25:44.033627
3737,425.0,722,0,False,0,0.55168,8018,1-1,2025-12-10 07:26:03.250389
3738,794.0,707,383,False,0,0.55156,353,1-1,2025-12-10 07:26:04.103500
3739,282.0,292,393,False,0,0.5514399999999999,147,1-1,2025-12-10 07:26:04.462495
3740,281.0,299,393,False,0,0.55132,151,1-1,2025-12-10 07:26:04.811210
